Id;Name; Latitude ; Longitude ;Height (m);Active; AirPreasureStation ;link
180750;Malmberget; 67.17 ; 20.67 ;373;Nej; 9-180750-Malmberget.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/180750/period/corrected-archive/data.csv
85240;Malmslätt; 58.40 ; 15.52 ;94;Ja; 9-85240-Malmslätt.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/85240/period/corrected-archive/data.csv
53360;Malmö; 55.58 ; 13.01 ;13;Nej; 9-53360-Malmö.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/53360/period/corrected-archive/data.csv
103410;Malung; 60.68 ; 13.70 ;308;Nej; 9-103410-Malung.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/103410/period/corrected-archive/data.csv
103420;Malung A; 60.68 ; 13.71 ;302.583;Ja; 9-103420-Malung_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/103420/period/corrected-archive/data.csv
85520;Mariedamm; 58.85 ; 15.16 ;132;Nej; 9-85520-Mariedamm.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/85520/period/corrected-archive/data.csv
63280;Markaryd; 56.46 ; 13.66 ;118;Nej; 9-63280-Markaryd.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/63280/period/corrected-archive/data.csv
133180;Mattmar V; 63.31 ; 13.88 ;360;Nej; 9-133180-Mattmar_V.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/133180/period/corrected-archive/data.csv
166910;Mierkenis A; 66.68 ; 16.11 ;613.982;Ja; 9-166910-Mierkenis_A.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/166910/period/corrected-archive/data.csv
104300;Mockfjärd; 60.51 ; 14.96 ;192;Nej; 9-104300-Mockfjärd.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/104300/period/corrected-archive/data.csv
93360;Molkom; 59.62 ; 13.75 ;93;Nej; 9-93360-Molkom.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/93360/period/corrected-archive/data.csv
73570;Molla; 57.94 ; 13.07 ;190;Nej; 9-73570-Molla.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/9/station/73570/period/corrected-archive/data.csv
