Id;Name; Latitude ; Longitude ;Height (m);Active;PrecipStation;PrecipLink
98240;Bogesund;59.41;18.23;22;Nej;5-98240-Bogesund.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/98240/period/corrected-archive/data.csv
155900;Boksjö;65.68;15.82;475;Nej;5-155900-Boksjö.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/155900/period/corrected-archive/data.csv
72400;Bollebygd;57.64;12.63;130.32;Ja;5-72400-Bollebygd.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/72400/period/corrected-archive/data.csv
54300;Bollerup;55.49;14.04;57.568;Ja;5-54300-Bollerup.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/54300/period/corrected-archive/data.csv
116730;Bollnäs;61.35;16.42;55;Nej;5-116730-Bollnäs.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/116730/period/corrected-archive/data.csv
116250;Bollnäs D;61.42;16.37;113.776;Ja;5-116250-Bollnäs_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/116250/period/corrected-archive/data.csv
137020;Bollstabruk;63;17.67;70;Nej;5-137020-Bollstabruk.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/137020/period/corrected-archive/data.csv
63490;Bolmen;56.81;13.7;160;Nej;5-63490-Bolmen.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/63490/period/corrected-archive/data.csv
73020;Bolmsö;57.02;13.73;160;Nej;5-73020-Bolmsö.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/73020/period/corrected-archive/data.csv
135090;Bomsund;63.15;15.76;220;Nej;5-135090-Bomsund.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/135090/period/corrected-archive/data.csv
73340;Bondstorp D;57.59;13.93;295;Nej;5-73340-Bondstorp_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/73340/period/corrected-archive/data.csv
66530;Borgholm;56.88;16.67;5;Nej;5-66530-Borgholm.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/66530/period/corrected-archive/data.csv
83170;Borgunda;58.29;13.8;181;Nej;5-83170-Borgunda.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/83170/period/corrected-archive/data.csv
135260;Borgvattnet D;63.42;15.83;386.316;Ja;5-135260-Borgvattnet_D.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/5/station/135260/period/corrected-archive/data.csv
