Id;Name; Latitude ; Longitude ;Height_m;Active; TempMean ; TempMinStation ; TempMaxStation ; TempMeanLink ; TempMinLink ; TempMaxLink ;;
82540;Bastorp; 58.90 ; 12.04 ;150;No; 2-82540-Bastorp.csv ; 19-82540-Bastorp.csv ; 20-Bastorp-58904.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/82540/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/82540/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/82540/period/corrected-archive/data.csv;;
74240;Nävelsjö; 57.40 ; 14.89 ;215;Nej; 2-74240-Nävelsjö.csv ; 19-74240-Nävelsjö.csv ; 20-Nävelsjö-57.4042.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/74240/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/74240/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/74240/period/corrected-archive/data.csv;;
84260;Örberga; 58.43 ; 14.83 ;105;No; 2-84260-Örberga.csv ; 19-84260-Örberga.csv ; 20-Örberga-58.4274.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/84260/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/84260/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/84260/period/corrected-archive/data.csv;;
66120;Öland's southern cape; 56.20 ; 16.40 ;3;No; 2-66120-Öland's_southern_cape.csv ; 19-66120-Öland's_southern_cape.csv ; 20-Öland's southern cape-56.1957.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/66120/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/66120/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/66120/period/corrected-archive/data.csv;;
97280;Adelsö A; 59.36 ; 17.52 ;5,612;Yes; 2-97280-Adelsö_A.csv ; 19-97280-Adelsö_A.csv ; 20-Adelsö A-59.3579.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/97280/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/97280/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/97280/period/corrected-archive/data.csv;;
96310;Köping; 59.52 ; 15.99 ;10;Nej; 2-96310-Köping.csv ; 19-96310-Köping.csv ; 20-Köping-59.5171.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/96310/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/96310/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/96310/period/corrected-archive/data.csv;;
136410;Junsele A; 63.68 ; 16.95 ;218.766;Ja; 2-136410-Junsele_A.csv ; 19-136410-Junsele_A.csv ; 20-Junsele A-63.6839.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/136410/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/136410/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/136410/period/corrected-archive/data.csv;;
88580;Stabbo; 58.97 ; 18.45 ;7;Nej; 2-88580-Stabbo.csv ; 19-88580-Stabbo.csv ; 20-Stabbo-58.9733.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/88580/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/88580/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/88580/period/corrected-archive/data.csv;;
108640;Öregrund; 60.33 ; 18.43 ;7;No; 2-108640-Öregrund.csv ; 19-108640-Öregrund.csv ; 20-Öregrund-60.3333.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/108640/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/108640/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/108640/period/corrected-archive/data.csv;;
54300;Bollerup; 55.49 ; 14.04 ;57.568;Ja; 2-54300-Bollerup.csv ; 19-54300-Bollerup.csv ; 20-Bollerup-55.4926.csv ;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/2/station/54300/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/19/station/54300/period/corrected-archive/data.csv;https://opendata-download-metobs.smhi.se/api/version/1.0/parameter/20/station/54300/period/corrected-archive/data.csv;;
